date,store_id,sku,quantity_on_hand,quantity_sold,status,days_of_supply,value_on_hand
2024-06-01,ST001,SKU01000,101,11,In Stock,8,64771.3
2024-06-01,ST001,SKU01001,136,9,Overstock,18,71765.84
2024-06-01,ST001,SKU01002,113,8,In Stock,7,56171.17
2024-06-01,ST001,SKU01004,42,11,In Stock,3,31706.64
2024-06-01,ST001,SKU01005,141,7,Overstock,9,94454.49
2024-06-01,ST001,SKU01006,117,4,Overstock,20,54148.77
2024-06-01,ST001,SKU01009,145,4,Overstock,25,4492.1
2024-06-01,ST001,SKU01011,43,8,Low Stock,3,25330.87
2024-06-01,ST001,SKU01012,6,3,Low Stock,1,3497.7
2024-06-01,ST001,SKU01013,63,4,Overstock,8,6562.08
2024-06-01,ST001,SKU01014,41,18,In Stock,3,7313.99
2024-06-01,ST001,SKU01015,110,4,Overstock,20,76971.4
2024-06-01,ST001,SKU01016,29,14,Low Stock,2,7773.16
2024-06-01,ST001,SKU01017,0,23,Out of Stock,0,0.0
2024-06-01,ST001,SKU01018,148,1,Overstock,39,10451.76
2024-06-01,ST001,SKU01019,52,18,Overstock,4,25763.92
2024-06-01,ST001,SKU01021,75,11,In Stock,10,59030.25
2024-06-01,ST001,SKU01022,58,15,In Stock,3,31813.0
2024-06-01,ST001,SKU01023,106,13,In Stock,11,34094.9
2024-06-01,ST001,SKU01024,24,2,In Stock,7,4758.48
2024-06-01,ST001,SKU01025,77,5,Overstock,12,21901.88
2024-06-01,ST001,SKU01026,79,6,Overstock,14,49973.03
2024-06-01,ST001,SKU01027,119,15,Overstock,7,66601.92
2024-06-01,ST001,SKU01028,33,9,In Stock,2,10093.05
2024-06-01,ST001,SKU01029,36,7,In Stock,5,17283.6
2024-06-01,ST001,SKU01030,99,16,Overstock,6,53634.24
2024-06-01,ST001,SKU01031,39,7,In Stock,6,29388.84
2024-06-01,ST001,SKU01032,112,4,Overstock,21,86421.44
2024-06-01,ST001,SKU01033,33,11,Low Stock,2,10819.38
2024-06-01,ST001,SKU01034,72,11,Overstock,8,9307.44
2024-06-01,ST001,SKU01036,6,1,Low Stock,2,1029.18
2024-06-01,ST001,SKU01037,122,12,Overstock,15,11383.82
2024-06-01,ST001,SKU01039,18,21,Low Stock,0,7950.6
2024-06-01,ST001,SKU01040,6,9,Low Stock,0,2174.4
2024-06-01,ST001,SKU01041,0,10,Out of Stock,0,0.0
2024-06-01,ST001,SKU01042,137,12,Overstock,10,57953.74
2024-06-01,ST001,SKU01044,126,12,Overstock,15,81823.14
2024-06-01,ST001,SKU01045,0,15,Out of Stock,0,0.0
2024-06-01,ST001,SKU01046,109,4,Overstock,22,82460.68
2024-06-01,ST001,SKU01047,86,13,In Stock,6,56135.64
2024-06-01,ST001,SKU01048,2,13,Low Stock,0,148.2
2024-06-01,ST001,SKU01049,81,13,Overstock,4,18090.54
2024-06-01,ST001,SKU01050,103,12,Overstock,9,16315.2
2024-06-01,ST002,SKU01001,34,7,Low Stock,3,17941.46
2024-06-01,ST002,SKU01002,44,11,In Stock,3,21871.96
2024-06-01,ST002,SKU01004,54,7,In Stock,8,40765.68
2024-06-01,ST002,SKU01005,5,24,Low Stock,0,3349.45
2024-06-01,ST002,SKU01006,88,7,In Stock,11,40727.28
2024-06-01,ST002,SKU01007,111,7,In Stock,10,82035.66
2024-06-01,ST002,SKU01008,96,12,In Stock,8,12472.32
2024-06-01,ST002,SKU01009,116,11,Overstock,9,3593.68
2024-06-01,ST002,SKU01010,20,14,Low Stock,1,2207.6
2024-06-01,ST002,SKU01011,109,8,In Stock,15,64210.81
2024-06-01,ST002,SKU01012,19,17,Low Stock,1,11076.05
2024-06-01,ST002,SKU01013,73,3,Overstock,21,7603.68
2024-06-01,ST002,SKU01014,84,16,Overstock,5,14984.76
2024-06-01,ST002,SKU01017,144,2,In Stock,24,62868.96
2024-06-01,ST002,SKU01018,110,6,Overstock,25,7768.2
2024-06-01,ST002,SKU01019,133,11,Overstock,10,65896.18
2024-06-01,ST002,SKU01020,49,8,In Stock,8,38651.69
2024-06-01,ST002,SKU01021,34,10,In Stock,3,26760.38
2024-06-01,ST002,SKU01022,1,7,Low Stock,0,548.5
2024-06-01,ST002,SKU01023,120,6,Overstock,10,38598.0
2024-06-01,ST002,SKU01024,21,14,In Stock,1,4163.67
2024-06-01,ST002,SKU01025,129,13,Overstock,9,36692.76
2024-06-01,ST002,SKU01026,64,4,In Stock,9,40484.48
2024-06-01,ST002,SKU01027,7,8,Low Stock,0,3917.76
2024-06-01,ST002,SKU01028,73,12,In Stock,6,22327.05
2024-06-01,ST002,SKU01029,73,4,Overstock,24,35047.3
2024-06-01,ST002,SKU01030,100,12,Overstock,6,54176.0
2024-06-01,ST002,SKU01031,33,15,In Stock,2,24867.48
2024-06-01,ST002,SKU01032,64,20,In Stock,3,49383.68
2024-06-01,ST002,SKU01033,110,12,Overstock,10,36064.6
2024-06-01,ST002,SKU01034,27,3,Low Stock,10,3490.29
2024-06-01,ST002,SKU01036,113,8,Overstock,9,19382.89
2024-06-01,ST002,SKU01037,79,7,In Stock,5,7371.49
2024-06-01,ST002,SKU01038,105,2,Overstock,32,5280.45
2024-06-01,ST002,SKU01039,30,11,In Stock,2,13251.0
2024-06-01,ST002,SKU01040,116,8,In Stock,12,42038.4
2024-06-01,ST002,SKU01042,85,15,In Stock,6,35956.7
2024-06-01,ST002,SKU01043,8,12,Low Stock,0,2293.36
2024-06-01,ST002,SKU01044,0,13,Out of Stock,0,0.0
2024-06-01,ST002,SKU01045,73,4,Overstock,16,22790.6
2024-06-01,ST002,SKU01046,17,26,Low Stock,0,12860.84
2024-06-01,ST002,SKU01047,52,4,In Stock,14,33942.48
2024-06-01,ST002,SKU01048,58,3,Overstock,11,4297.8
2024-06-01,ST003,SKU01002,78,8,In Stock,7,38773.02
2024-06-01,ST003,SKU01003,54,23,In Stock,3,34151.76
2024-06-01,ST003,SKU01004,121,6,Overstock,32,91345.32
2024-06-01,ST003,SKU01005,37,5,Low Stock,5,24785.93
2024-06-01,ST003,SKU01007,47,19,Low Stock,4,34735.82
2024-06-01,ST003,SKU01008,122,20,In Stock,7,15850.24
2024-06-01,ST003,SKU01009,9,8,Low Stock,0,278.82
2024-06-01,ST003,SKU01010,71,3,In Stock,12,7836.98
2024-06-01,ST003,SKU01011,38,3,Low Stock,11,22385.42
2024-06-01,ST003,SKU01012,138,11,Overstock,11,80447.1
2024-06-01,ST003,SKU01013,37,17,Low Stock,2,3853.92
2024-06-01,ST003,SKU01014,124,5,Overstock,17,22120.36
2024-06-01,ST003,SKU01015,18,15,Low Stock,1,12595.32
2024-06-01,ST003,SKU01016,32,4,Low Stock,8,8577.28
2024-06-01,ST003,SKU01017,8,17,Low Stock,0,3492.72
2024-06-01,ST003,SKU01018,52,10,Overstock,3,3672.24
2024-06-01,ST003,SKU01019,17,12,Low Stock,1,8422.82
2024-06-01,ST003,SKU01020,57,7,In Stock,12,44962.17
2024-06-01,ST003,SKU01022,47,3,In Stock,5,25779.5
2024-06-01,ST003,SKU01023,58,9,In Stock,5,18655.7
2024-06-01,ST003,SKU01024,66,2,Overstock,8,13085.82
2024-06-01,ST003,SKU01025,86,13,Overstock,7,24461.84
2024-06-01,ST003,SKU01028,90,2,Overstock,17,27526.5
2024-06-01,ST003,SKU01029,84,12,Overstock,7,40328.4
2024-06-01,ST003,SKU01030,0,16,Out of Stock,0,0.0
2024-06-01,ST003,SKU01031,103,4,Overstock,27,77616.68
2024-06-01,ST003,SKU01032,48,17,In Stock,3,37037.76
2024-06-01,ST003,SKU01033,125,6,Overstock,41,40982.5
2024-06-01,ST003,SKU01034,11,5,Low Stock,2,1421.97
2024-06-01,ST003,SKU01035,27,9,Low Stock,3,6723.0
2024-06-01,ST003,SKU01036,71,9,Overstock,16,12178.63
2024-06-01,ST003,SKU01037,92,10,In Stock,8,8584.52
2024-06-01,ST003,SKU01038,122,7,Overstock,19,6135.38
