transaction_id,date,store_id,sku,quantity,unit_price,discount,revenue,cost,profit,profit_margin
TXN00010000,2024-06-01,ST006,SKU01003,1,973.71,0.0,973.71,632.44,341.27,35.05
TXN00010001,2024-06-01,ST008,SKU01047,2,1491.36,0.0,2982.72,1305.48,1677.24,56.23
TXN00010002,2024-06-01,ST006,SKU01024,1,299.38,0.0,299.38,198.27,101.11,33.77
TXN00010003,2024-06-01,ST007,SKU01040,1,505.24,0.0,505.24,362.4,142.84,28.27
TXN00010004,2024-06-01,ST008,SKU01035,1,565.54,0.0,565.54,249.0,316.54,55.97
TXN00010005,2024-06-01,ST004,SKU01029,1,1188.09,0.0,1188.09,480.1,707.99,59.59
TXN00010006,2024-06-01,ST008,SKU01026,2,1330.15,0.0,2660.3,1265.14,1395.16,52.44
TXN00010007,2024-06-01,ST001,SKU01036,1,237.6,0.0,237.6,171.53,66.07,27.81
TXN00010008,2024-06-01,ST001,SKU01013,1,139.33,0.0,139.33,104.16,35.17,25.24
TXN00010009,2024-06-01,ST001,SKU01044,1,1114.07,0.0,1114.07,649.39,464.68,41.71
TXN00010010,2024-06-01,ST001,SKU01023,1,779.71,0.0,779.71,321.65,458.06,58.75
TXN00010011,2024-06-01,ST003,SKU01000,1,974.86,0.0,974.86,641.3,333.56,34.22
TXN00010012,2024-06-01,ST003,SKU01001,1,721.72,0.0,721.72,527.69,194.03,26.88
TXN00010013,2024-06-01,ST005,SKU01032,1,1792.95,0.0,1792.95,771.62,1021.33,56.96
TXN00010014,2024-06-01,ST005,SKU01040,1,505.24,0.0,505.24,362.4,142.84,28.27
TXN00010015,2024-06-01,ST005,SKU01004,1,1491.68,0.0,1491.68,754.92,736.76,49.39
TXN00010016,2024-06-01,ST002,SKU01016,2,383.85,108.71,550.28,536.08,14.2,2.58
TXN00010017,2024-06-01,ST008,SKU01023,1,779.71,0.0,779.71,321.65,458.06,58.75
TXN00010018,2024-06-01,ST006,SKU01020,1,1254.57,0.0,1254.57,788.81,465.76,37.13
TXN00010019,2024-06-01,ST005,SKU01046,2,1770.73,0.0,3541.46,1513.04,2028.42,57.28
TXN00010020,2024-06-01,ST003,SKU01025,1,488.97,0.0,488.97,284.44,204.53,41.83
TXN00010021,2024-06-01,ST002,SKU01004,2,1491.68,0.0,2983.36,1509.84,1473.52,49.39
TXN00010022,2024-06-01,ST008,SKU01037,1,186.05,0.0,186.05,93.31,92.74,49.85
TXN00010023,2024-06-01,ST008,SKU01002,1,650.43,0.0,650.43,497.09,153.34,23.58
TXN00010024,2024-06-01,ST004,SKU01004,1,1491.68,0.0,1491.68,754.92,736.76,49.39
TXN00010025,2024-06-01,ST004,SKU01039,1,912.06,0.0,912.06,441.7,470.36,51.57
TXN00010026,2024-06-01,ST005,SKU01024,1,299.38,71.75,227.63,198.27,29.36,12.9
TXN00010027,2024-06-01,ST008,SKU01039,1,912.06,0.0,912.06,441.7,470.36,51.57
TXN00010028,2024-06-01,ST008,SKU01022,1,723.97,0.0,723.97,548.5,175.47,24.24
TXN00010029,2024-06-01,ST008,SKU01047,1,1491.36,0.0,1491.36,652.74,838.62,56.23
TXN00010030,2024-06-01,ST002,SKU01040,2,505.24,0.0,1010.48,724.8,285.68,28.27
TXN00010031,2024-06-01,ST002,SKU01013,1,139.33,28.79,110.54,104.16,6.38,5.77
TXN00010032,2024-06-01,ST002,SKU01049,1,423.29,0.0,423.29,223.34,199.95,47.24
TXN00010033,2024-06-01,ST007,SKU01003,2,973.71,108.94,1729.54,1264.88,464.66,26.87
